id,url,createdTime,Scale,Required Content,Sheet ID,QA Criteria,Blocking Issue,Status,Primary Scope,Evidence Grade,Notes,Output,Type,Drawing
3c60b963-e600-81f3-8eff-c9a5b22c4513,https://app.notion.com/3c60b963e60081f38effc9a5b22c4513,2026-08-24 07:10:26Z,1:20 / 1:50,"Menorah, service step, Showbread Table assembly, incense altar, parokhet zones, Foundation Stone, access clearances",D-SAN-00,all sacred objects tied to Object IDs; Ark absent; no overlaps; orientation variants explicit,exact object offsets/profiles,Researching,Holy Place + Debir object placement,A,Build Packet B primary coordination sheet.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Sanctuary furnishings master plan
3c60b963-e600-8102-856a-e1d3a00a17d9,https://app.notion.com/3c60b963e6008102856ae1d3a00a17d9,2026-08-24 07:10:26Z,pattern atlas,"attested thematic constraints, forbidden zodiac/living-creature signs, hypothetical motif zones with confidence grading",TEX-04,no modern star chart; motif uncertainty visibly encoded,exact historical graphic layout unknown,Researching,Cosmic curtain motif,A,,"[""Notion"",""SVG"",""PNG"",""PDF"",""Blender Ref""]",QA Overlay,Josephus celestial embroidery confidence map
3c60b963-e600-8104-b711-d011a096d86e,https://app.notion.com/3c60b963e6008104b711d011a096d86e,2026-08-24 07:10:26Z,1:5 / 1:10,"central shaft, six branches, seven lamps, base, Arch-of-Titus proportion trace, textual variant overlay",D-MEN-01,exactly 7 lamps; relief-derived vs typological geometry color-coded,original vessel dimensions absent; relief-to-object calibration,Researching,Seven-branched Menorah,A,Generic emblem silhouette prohibited.,"[""Notion"",""SVG"",""PDF"",""Blender Ref""]",Elevation,Menorah overall elevation + proportion study
3c60b963-e600-8135-81fd-de5bfd634912,https://app.notion.com/3c60b963e600813581fdde5bfd634912,2026-08-24 07:23:33Z,1:50,12×0.5c rise; printed 1c tread variant; 3c/3c/4c landing sequence; R Judah top 5c variant; alternative textual-witness tread layer,S-01A,22c total approach closure maintained per selected variant; variants never averaged; Ulam FFL consistent with STEP03,tread textual reconciliation and initial 1c gap interpretation,Researching,Altar→Ulam 22c approach and twelve-step sequence,A,Essential before S-01 central longitudinal section is locked.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Ulam approach 22c step/landing variant section
3c60b963-e600-8153-8b09-cab9449fe7b8,https://app.notion.com/3c60b963e60081538b09cab9449fe7b8,2026-08-24 07:23:33Z,1:100,62c altar+ramp; 8c gap; 24c rings; 4c;4c;8c; 25c unresolved allocation; Rambam 12.5/12.5 secondary overlay,P-05A,raw Middot bands sum 135c; 25c shown as unresolved allocation; no secondary interpretation rendered as raw text,final south-of-ramp vs pillars allocation and altar-axis interpretation,Draft,135c north–south courtyard decomposition without false absolute placement,A,"Generated chat artifacts: Herod_Temple_P05A_Azarah_NS_Constraint_v0_2.svg / .dxf. This is intentionally a source-constraint drawing, not a completed absolute-Y plan.","[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Azarah N–S source-constraint plan
3c60b963-e600-81f6-be8c-deed1460b033,https://app.notion.com/3c60b963e60081f6be8cdeed1460b033,2026-08-24 07:23:33Z,1:100 / 1:50 steps inset,four 40c open chambers; balcony as phase/interpretation layer; 15 semicircular steps; chamber functions labeled; Nicanor interface unresolved zone,P-04A,135×135 and 4×40c dimensions exact; step count exactly 15; radius/tread derived values explicitly tagged,step radius/start landing; Nicanor gatehouse depth; balcony exact geometry/phase,Researching,135×135c Women Court and transition toward Nicanor/Israel Court,A,Generated chat artifacts: Herod_Temple_P04A_Women_Court_Nominal_v0_1.svg / .dxf. 135×135c and four 40c chambers are drawn; 15 semicircular arcs are topology-only with radius explicitly unresolved.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Women Court + 4 corner chambers + 15 semicircular steps
3c60b963-e600-81b7-9bcd-c10cb79f307b,https://app.notion.com/3c60b963e60081b79bcdc10cb79f307b,2026-08-24 07:23:33Z,1:50 / 1:100,15 north +15 south +8 west cell topology; lower/middle/upper widths 5/6/7c; NE corner five-opening node; mesibbah route; water-descent side,P-02A,cell counts exact; no invented equal bay lengths; every uncertain doorway offset dashed/UNRESOLVED,exact E-W subdivision of individual cells and all door offsets,Draft,38 side cells around Hekhal/Debir; north/south/west three-story network and mesibbah access,A,"v0.1 actual files verified/generated: Herod_Temple_P02A_Cell_Network_Patrich_v0_1.svg/.dxf/.png + Herod_Temple_P02A_Cell_Connectivity_Topology_v0_1.json. Working master uses CELL-PATRICH-RITMEYER; CELL-RAMBAM remains comparison-only. QA: N/S run 61c = 5×9+4×4; west lower/middle run 44c = 3×12+2×4; mesibbah working run 66c. Longitudinal bay lengths/heights remain reconstruction, not raw Middot.","[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Sanctuary side-cell network + mesibbah plan
3c60b963-e600-81e4-8963-f2f24e443c4a,https://app.notion.com/3c60b963e60081e48963f2f24e443c4a,2026-08-24 07:23:33Z,coordinate schedule / 1:100,X=-38…+149c Azarah chain; Sanctuary X=-27…+73c; body Y=±35c; Ulam Y=±50c; meter/cubit dual labels; line-status legend,Q-03,"100c,70c,187c closures zero error; all sheets share same H0/+X/+Y; no geospatial skew",Azarah N–S absolute Y and Women Court gatehouse interface remain constrained layers,Draft,Sanctuary 100c/70c and Azarah 187c boundaries in shared H0 system,A,Generated chat artifacts: Herod_Temple_Q03_H0_Coordinate_Closure_v0_2.svg / .dxf. Uses same H0/+X/+Y convention as STEP 02A and P-02.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",QA Overlay,H0 master coordinate closure overlay
3c60b963-e600-8177-9e38-dd17e43cda2d,https://app.notion.com/3c60b963e60081779e38dd17e43cda2d,2026-08-24 07:41:11Z,1:50 / stair detail,66c total run; 45c rise; 90 steps at 0.5c rise/tread; 7+14+7+14+7+17c sequence; landings at reconstructed story levels,D-MES-01,run=66c and rise=45c exact within Patrich variant; distinguish raw Middot 3c width from reconstructed longitudinal stair sequence,Patrich/Ritmeyer reconstruction rather than direct primary measurement; exact original stair-versus-ramp configuration remains interpretive,Draft,North-side mesibbah ascent from Sanctuary FFL to cell roof / Upper Chamber floor,B,v0.1 generated: Herod_Temple_D-MES-01_Mesibbah_Profile_Patrich_v0_1.svg/.dxf. Coupled to P-02A and S-03.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Mesibbah stepped-ascent reconstruction profile
3c60b963-e600-8174-8a72-dd1b51bf42aa,https://app.notion.com/3c60b963e60081748a72dd1b51bf42aa,2026-08-24 07:44:48Z,1:20 / 1:10 openings,"2×2c lulin candidate, 1c wall setback, 2c clear spacing, H0 axes, derived count overlay",D-UP-01,Middot existence separated from Patrich dimensions; 25-count explicitly derived/reversible; no global roof-beam geometry implied,lulin size/setback/spacing are Patrich reconstruction; exact historical count unknown,Draft,Upper Chamber floor above 20×20c Holy of Holies,B,v0.1 generated: Herod_Temple_D-UP-01_Lulin_Grid_Patrich_Derived_v0_1.svg/.dxf. Uniform spacing over 20c mathematically yields 5×5=25 openings.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Holy-of-Holies overhead lulin maintenance grid
3c60b963-e600-81ff-9291-c32a913cc4d0,https://app.notion.com/3c60b963e60081ff9291c32a913cc4d0,2026-08-24 07:44:48Z,1:10 / module,"3×3c reconstructed beam bay, possible centered 2×2c lulin relationship, source-status legend",D-ROOF-01,module only; global grid origin/phase and beam cross-section remain unresolved,beam widths/depths and full-grid phase not preserved by primary sources,Draft,Lower/Upper sanctuary roof-beam reconstruction module,B,v0.1 generated: Herod_Temple_D-ROOF-01_Beam_Module_Patrich_v0_1.svg/.dxf. Not authorization to tile whole roof yet.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Detail,Patrich 3×3c ceiling-beam module / lulin relationship
3c60b963-e600-819a-a46a-e3b46b7a8b85,https://app.notion.com/3c60b963e600819aa46ae3b46b7a8b85,2026-08-24 07:47:49Z,1:50,"Middot 4:5 route topology; Patrich/Ritmeyer 66c run, 45c rise, stair/landing reconstruction as explicitly non-primary layer",D-MES-01,raw route topology separated from reconstructed stair count/run; all landings/stairs tagged reconstruction,Patrich/Ritmeyer exact published dimension plate/page citation must be pinned before lock,Researching,NE→NW→S→E access route to upper chamber / cell roofs,B,Generated asset: Herod_Temple_D-MES-01_Mesibbah_Profile_Patrich_v0_1.svg/dxf/png. Raw Middot confirms route but not this exact stair arithmetic.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Mesibbah reconstruction longitudinal profile
3c60b963-e600-8144-983a-cc2e3fc43c79,https://app.notion.com/3c60b963e6008144983acc2e3fc43c79,2026-08-24 07:47:49Z,1:20,kiyyur 1c; bet dilfa 2c; ceiling 1c; plaster/build-up 1c; upper chamber 40c; upper roof repeat; parapet/spikes variants,D-ROOF-01,Middot 4:6 vertical sum closes 100c; Bartenura commentary kept distinct from raw Mishnah,structural beam cross-section/material dimensions beyond enumerated vertical thicknesses,Researching,Hekhal/upper-chamber roof build-up and 100c vertical chain,A,"Generated asset: Herod_Temple_D-ROOF-01_Beam_Module_Patrich_v0_1.svg/dxf/png. Title retains prior filename, but raw vertical module is Middot-based.","[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Detail,Upper roof beam / ceiling build-up module
3c60b963-e600-81b4-9703-f6868e338f2b,https://app.notion.com/3c60b963e60081b49703f6868e338f2b,2026-08-24 07:47:49Z,1:50,Middot 4:5 upper chamber south door; cedar ascent; stone divider; lulin over Holy of Holies; Patrich-derived grid only as reconstruction layer,D-UP-01,lulin existence locked; count/spacing not declared raw text unless separately sourced,exact lulin number/spacing and upper-chamber plan partition,Researching,Upper chamber above Hekhal/Debir; trapdoors/lulin and maintenance access,B,Generated asset: Herod_Temple_D-UP-01_Lulin_Grid_Patrich_Derived_v0_1.svg/dxf/png.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Upper chamber lulin / maintenance grid
3c60b963-e600-8102-88b2-d7d70bc932bb,https://app.notion.com/3c60b963e600810288b2d7d70bc932bb,2026-08-24 07:50:35Z,1:50,10×20c central opening; lintel; bronze/copper door material note; two wicket positions as unresolved side zones,E-NIC-01,central opening class exact; wicket sizes not invented; Josephus Corinthian gate excluded from this master sheet,wicket dimensions/offsets; outer gatehouse width/height; jamb/wall profile,Draft,Nicanor central opening + two side wickets,A,v0.1 generated: Herod_Temple_E-NIC-01_Nicanor_Elevation_v0_1.svg/.dxf. Working identity NICANOR-RABBINIC-WEST.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Elevation,Rabbinic Nicanor Gate evidence-bounded elevation
3c60b963-e600-811f-97c7-c096787d32ae,https://app.notion.com/3c60b963e600811f97c7c096787d32ae,2026-08-24 08:09:30Z,1:100 / 1:200,H0 axes; X=-38…+149c; selected Y=-58.5…+76.5c; altar centered Y=0; 30c ramp ground run +2c altar overlap; rings/service bands; Priests/Israel 11c zones; Nicanor unresolved envelope,P-05,E-W closure exactly 187c; selected Rambam-Y closure exactly 135c; Yoma altar alignment kept distinct from Rambam allocation; no unresolved E-W service footprint rendered as fixed object geometry,rings/tables/pillars exact E-W fixture placement inside locked 76c envelope; ramp exact E-W offset; Nicanor gatehouse/15-step radius; Women Court west-interface thickness,Draft,"Full 187×135c Azarah coordination linking Sanctuary, Ulam, Altar, Ramp, slaughter service bands, Priests Court, Israel Court, Nicanor control line",B,v0.2 generated: Herod_Temple_P05_Full_Azarah_Coordination_RambamY_v0_2.svg/.dxf/.png + Manifest JSON. New hard envelope: northern service/slaughter rectangle = 76c E-W × 60.5c N-S. Rambam N-S bands now 8 + 24 + 8 tables + 12.5 pillars/service + 8 = 60.5c. Exact E-W fixture footprints remain unresolved.,"[""Notion"",""SVG"",""DXF"",""PNG"",""PDF"",""Blender Ref""]",Plan,Full Azarah coordination plan · H0 + Rambam-Y variant
3c60b963-e600-81b6-bffb-ed0e7a768a9d,https://app.notion.com/3c60b963e60081b6bffbed0e7a768a9d,2026-08-24 08:13:15Z,1:50 / parametric,15 concentric semicircular steps; H0 Y=0 centerline; Middot 10c opening control; RAMBAM_15STEP tread variant; symbolic inner radius R0; gatehouse-depth unresolved envelope,P-04B,step count exactly 15; semicircular form preserved; R0 never exported as fixed number; Rambam and Josephus/Ritmeyer variants separate,inner radius R0; gatehouse depth; exact step center/landing geometry; Josephus/Ritmeyer alternate exact production rise,Draft,Nicanor gate centerline and 15 semicircular-step plan topology,B,Generated: Herod_Temple_P04B_Nicanor_15Step_Parametric_Plan_v0_1.svg/.dxf/.png + Parametric Contract JSON. Display R0=5c is visualization-only and explicitly non-production.,"[""Notion"",""SVG"",""DXF"",""PNG"",""PDF"",""Blender Ref""]",Plan,Nicanor Gate + 15 semicircular steps · parametric plan
3c60b963-e600-81f2-911a-d7f950f13d9f,https://app.notion.com/3c60b963e60081f2911ad7f950f13d9f,2026-08-24 08:13:15Z,1:50 / level diagram,H0/Ulam FFL=0; Women→Israel 15-step Rambam rise; Israel→Priests R. Eliezer ben Jacob 2.5c; Priests→Ulam 12-step 6c rise; alternate Josephus/Ritmeyer shallow-step branch,S-NIC-02,variant stack explicitly named; total selected Women→Ulam rise =16c; no horizontal tread/landing geometry falsely locked where variants remain,Nicanor shallow-step variant final level reconciliation; exact horizontal landings/treads for Israel→Priests and Ulam approach,Draft,Vertical datum chain from Court of Women to Sanctuary FFL,C,"Generated: Herod_Temple_SNIC02_Eastern_Level_Chain_Rambam_v0_1.svg/.dxf/.png + Manifest JSON. Selected composite variant levels: Women -16c, Israel -8.5c, Priests -6c, Ulam 0c.","[""Notion"",""SVG"",""DXF"",""PNG"",""PDF"",""Blender Ref""]",Section,Eastern sacred level chain · Women→Israel→Priests→Ulam
3c70b963-e600-811f-a5d4-e85ceec0234f,https://app.notion.com/3c70b963e600811fa5d4e85ceec0234f,2026-08-25 11:40:32Z,AUTHORITY_ENVELOPE / NOT TO SCALE,"double-cloister topology, open-court edge, known envelope, explicit blocked perimeter endpoints/row offsets/bay spacing",DG03-PLAN-01,"No perimeter endpoint, row offset, intercolumniation or bay rhythm invented; OUTER_PORTICO_PRODUCTION_ARRAY remains BLOCKED","exact perimeter endpoints, internal row positions, bay spacing",Locked,Western / northern / eastern outer double porticoes,C,STEP07B-4 drawing-authority closure. GUIDE only; not geometry release.,"[""SVG"",""PNG"",""Blender Ref""]",Plan,DG-03 · Outer Portico bay/topology authority envelope
3c70b963-e600-81b7-9946-e2b107550f6d,https://app.notion.com/3c70b963e60081b79946e2b107550f6d,2026-08-25 11:40:32Z,SEMANTIC GUIDE / NOT TO SCALE,"Josephus cedar-roof semantics; explicit refusal to infer roof pitch, truss, edge, parapet or drainage",DG03-ROOF-01,Cedar material statement does not become roof geometry; no final roof mesh authorized,"roof pitch, truss system, slab/edge profile, parapet, drainage",Locked,Outer cloister roof semantics,C,DG-03 drawing closure only; roof geometry remains BLOCKED.,"[""Notion"",""SVG"",""PNG""]",Detail,DG-03 · Outer Portico roof authority / refusal sheet
3c70b963-e600-810a-b8fd-cbeb61cbe028,https://app.notion.com/3c70b963e600810ab8fdcbeb61cbe028,2026-08-25 11:40:32Z,MORPHOLOGY ONLY,Doric family attribution; exact base/capital/fluting/entablature profile explicitly blocked,DG03-ORDER-01,No generic Doric asset treated as evidence; no Royal Stoa Corinthian transfer; no invented order dimensions,"diameter, base/capital proportions, flute count, entablature dimensions/carving",Locked,W/N/E outer portico architectural-order morphology,B,Evidence E-PELEG2014-TM-OUTER-PORTICO-DORIC. B/T2 guide morphology only.,"[""Notion"",""SVG"",""PNG""]",Detail,DG-03 · Outer Portico Doric order authority sheet
3c70b963-e600-81bd-b61e-e698027aca8a,https://app.notion.com/3c70b963e60081bdb61ee698027aca8a,2026-08-25 11:40:32Z,SCHEMATIC / SOURCE-DIMENSIONED ENVELOPE,Josephus 30c breadth and 25c column-height textual candidate controls; monolithic white-marble pillar semantics; blocked diameter/row offsets/profile,DG03-SECTION-01,"30c/25c remain Candidate GUIDE values; no solid section, diameter or row placement inferred","column diameter, internal row offsets, exact wall/column interfaces",Locked,Outer double cloister generic transverse section,C,Measurement IDs M-JOS-CLOISTER-W / M-JOS-COL-Z.,"[""SVG"",""PNG"",""Blender Ref""]",Section,DG-03 · Outer Portico cross-section authority envelope
